,time_ms,delta_ms,accel_ms2_x,accel_ms2_y,accel_ms2_z,mag_uT_x,mag_uT_y,mag_uT_z,gyro_degs_x,gyro_degs_y,gyro_degs_z,euler_deg_x,euler_deg_y,euler_deg_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,lin_accel_ms2_x,lin_accel_ms2_y,lin_accel_ms2_z,gravity_ms2_x,gravity_ms2_y,gravity_ms2_z
0,0.0,0,3.98,9.34,-1.22,-22.875,24.0625,-27.6875,-0.05,-0.08333333333333333,-0.006666666666666667,40.0625,15.6875,-95.375,-173916160.0,-168361984.0,104660992.0,50118656.0,0.08,0.13,-0.35,3.93,9.39,-0.88
1,16.163,16,4.02,9.53,-1.24,-22.875,24.0625,-27.6875,-0.05555555555555555,-0.08333333333333333,0.034444444444444444,32.125,15.6875,-95.375,-173916160.0,-168296448.0,104742912.0,50151424.0,0.1,0.37,-0.31,3.94,9.39,-0.88
2,26.278,10,4.04,9.77,-1.2,-22.875,24.0625,-27.6875,-0.05444444444444444,-0.06111111111111111,0.04777777777777778,32.125,15.75,-95.375,-173965312.0,-168230912.0,104775680.0,50167808.0,0.11,0.59,-0.34,3.94,9.39,-0.88
3,37.303000000000004,11,2.78,9.99,-1.23,-22.875,24.0625,-27.6875,-0.058888888888888886,-0.01888888888888889,0.035555555555555556,32.125,15.75,-95.3125,-174047232.0,-168165376.0,104742912.0,50184192.0,0.18,0.67,-0.31,3.94,9.39,-0.87
4,47.921,10,4.12,10.07,-1.19,-22.875,24.0625,-27.6875,-0.07666666666666666,0.023333333333333334,0.01,32.125,15.75,-95.25,-172064768.0,-168083456.0,104644608.0,50200576.0,0.22,0.89,-0.35,3.94,9.39,-0.86
5,56.934,9,4.17,10.29,-1.21,-23.1875,23.75,-27.25,-0.11555555555555555,0.06444444444444444,-0.012222222222222223,40.125,15.75,-95.25,-174358528.0,-167968768.0,104497152.0,50216960.0,0.32,1.14,-0.41,3.94,9.4,-0.84
6,66.065,9,4.26,10.54,-1.26,-23.1875,23.75,-27.25,-0.1811111111111111,0.1,-0.022222222222222223,40.0625,15.75,-94.9375,-172523520.0,-167804928.0,104316928.0,50266112.0,0.74,2.06,-0.35,3.94,9.4,-0.81
7,77.067,11,3.41,11.46,-1.16,-23.1875,23.75,-27.25,-0.2577777777777778,0.12777777777777777,-0.015555555555555555,40.0625,15.75,-94.75,-172867584.0,-167575552.0,104103936.0,50298880.0,1.04,2.8,-0.19,3.94,9.4,-0.78
8,88.025,10,4.99,12.2,-0.98,-23.1875,23.75,-27.25,-0.3933333333333333,0.22333333333333333,0.0077777777777777776,32.0,15.75,-94.5,-173293568.0,-167297024.0,103825408.0,50315264.0,0.07,3.43,-0.07,3.94,9.4,-0.74
9,98.30999999999999,10,4.02,12.84,-0.82,-23.1875,23.75,-27.25,-0.3933333333333333,0.22333333333333333,0.0077777777777777776,23.875,15.75,-94.1875,-173801472.0,-166969344.0,103497728.0,50282496.0,0.17,4.02,-0.08,3.94,9.41,-0.69
10,107.41199999999999,9,4.12,13.43,-0.77,-22.875,23.75,-28.0625,-0.31444444444444447,0.29,0.025555555555555557,23.875,15.75,-94.1875,-176504832.0,-166576128.0,103120896.0,50200576.0,0.25,4.5,-0.1,3.95,9.41,-0.64
11,116.41,8,4.21,13.92,-0.74,-22.875,23.75,-28.0625,-0.5322222222222223,0.35,0.06888888888888889,23.5,15.9375,-93.4375,-177242112.0,-166068224.0,102744064.0,50053120.0,0.01,4.38,-0.39,3.97,9.41,-0.57
12,127.407,10,3.98,13.8,-0.97,-22.875,23.75,-28.0625,-0.5855555555555556,0.45222222222222225,0.2922222222222222,23.1875,16.0625,-93.0,-178110464.0,-165429248.0,102416384.0,49807360.0,1.2,4.4,-0.46,4.0,9.4,-0.49
13,138.433,11,3.92,13.81,-0.96,-22.875,23.75,-28.0625,-0.6777777777777778,0.44222222222222224,0.4855555555555556,22.8125,16.375,-92.5,-176979968.0,-164593664.0,102236160.0,49446912.0,0.91,4.32,-0.82,4.04,9.39,-0.41
14,148.584,10,4.95,13.72,-1.23,-22.875,23.75,-28.0625,-0.82,0.44222222222222224,0.4855555555555556,22.3125,16.75,-91.9375,-178061312.0,-163610624.0,102187008.0,48906240.0,0.72,4.2,-1.06,4.11,9.38,-0.32
15,157.634,9,4.83,13.58,-1.38,-22.0625,23.375,-27.25,-0.8955555555555555,0.41888888888888887,0.7111111111111111,30.3125,16.75,-91.9375,-181305344.0,-162430976.0,102334464.0,48250880.0,0.73,4.22,-1.16,4.19,9.36,-0.22
16,166.751,9,4.93,13.58,-1.39,-22.0625,23.375,-27.25,-0.9544444444444444,0.4022222222222222,0.9255555555555556,21.125,17.875,-90.75,-180436992.0,-161103872.0,102612992.0,47448064.0,0.67,4.46,-1.17,4.29,9.33,-0.12
17,177.785,11,4.97,13.79,-1.3,-22.0625,23.375,-27.25,-0.8933333333333333,0.4577777777777778,1.268888888888889,20.375,18.5625,-90.0625,-181731328.0,-159694848.0,102940672.0,46514176.0,0.75,4.76,-1.04,3.12,9.29,-0.01
18,191.292,13,4.05,14.27,-0.79,-22.0625,23.375,-27.25,-0.9611111111111111,0.5333333333333333,1.37,19.5625,19.3125,-89.375,-185221120.0,-158171136.0,103268352.0,45449216.0,0.8,5.01,-0.89,4.53,9.25,0.09
19,200.21,8,4.05,14.27,-0.79,-21.6875,26.0,-26.375,-1.2166666666666666,0.6111111111111112,1.4377777777777778,18.6875,20.125,-88.625,-184647680.0,-156516352.0,103546880.0,44318720.0,0.77,5.25,-0.89,4.65,9.2,0.22
20,209.302,9,4.14,14.46,-0.67,-21.6875,26.0,-26.375,-1.231111111111111,0.6766666666666666,1.498888888888889,17.75,20.9375,-87.6875,-186302464.0,-154697728.0,103776256.0,43155456.0,0.68,5.33,-0.92,4.78,9.15,0.36
21,218.267,8,4.18,14.48,-0.56,-21.6875,26.0,-26.375,-1.5522222222222222,0.7111111111111111,1.5711111111111111,16.875,21.75,-86.6875,-190201856.0,-152666112.0,103972864.0,41992192.0,0.51,5.18,-1.02,3.63,9.09,0.52
22,229.39100000000002,11,4.15,14.28,-0.49,-21.6875,26.0,-26.375,-1.75,0.7477777777777778,1.6666666666666667,23.9375,22.625,-85.5625,-190070784.0,-150388736.0,104136704.0,40812544.0,0.14,4.72,-1.47,3.77,9.02,0.69
23,240.541,11,3.92,13.74,-0.77,-21.6875,26.0,-26.375,-1.7933333333333332,0.7655555555555555,1.791111111111111,23.0,23.5625,-84.25,-194265088.0,-147881984.0,104333312.0,39583744.0,-1.39,4.21,-1.81,3.92,8.94,0.89
24,249.882,9,5.08,13.15,-0.92,-18.0625,29.0,-24.75,-2.0744444444444445,0.7855555555555556,1.94,22.0,24.5625,-82.875,-194347008.0,-145129472.0,104579072.0,38256640.0,-1.41,3.81,-1.72,4.08,8.84,1.09
25,258.95099999999996,9,3.94,12.66,-0.62,-18.0625,29.0,-24.75,-2.0077777777777777,0.8255555555555556,2.098888888888889,20.9375,25.625,-81.4375,-198705152.0,-142213120.0,104857600.0,36798464.0,-1.53,3.77,-1.8,4.24,8.74,1.3
26,268.04499999999996,9,3.99,12.51,-0.49,-18.0625,29.0,-24.75,-2.013333333333333,0.84,2.252222222222222,19.8125,26.75,-79.9375,-198852608.0,-139198464.0,105185280.0,35176448.0,-1.6,3.73,-1.77,4.42,8.62,1.52
27,279.238,11,4.1,12.35,-0.25,-18.0625,29.0,-24.75,-2.118888888888889,0.84,2.4066666666666667,18.625,27.9375,-78.4375,-203145216.0,-136085504.0,105611264.0,33374208.0,-1.82,3.67,-1.86,4.6,8.48,1.72
28,290.238,11,4.05,12.15,-0.13,-18.0625,29.0,-24.75,-2.077777777777778,0.84,2.57,17.375,29.25,-76.9375,-203194368.0,-132907008.0,106119168.0,31391744.0,-2.16,3.04,-1.79,4.79,8.33,1.93
29,299.877,9,3.9,11.37,0.13,-26.0625,29.0,-24.75,-2.062222222222222,0.8222222222222222,2.7511111111111113,16.0,30.5625,-75.3125,-207388672.0,-129613824.0,106725376.0,29212672.0,-2.42,2.87,-1.76,4.99,8.16,2.13
30,308.95,9,3.85,11.03,0.37,-15.0625,32.6875,-22.6875,-2.062222222222222,0.8222222222222222,2.7511111111111113,6.625,32.0,-73.6875,-207339520.0,-126140416.0,107495424.0,26902528.0,-1.38,2.85,-1.8,6.48,7.97,2.33
31,317.921,8,3.81,10.83,0.52,-15.0625,32.6875,-22.6875,-2.01,0.6944444444444444,3.121111111111111,5.1875,33.5,-71.9375,-211451904.0,-122486784.0,108380160.0,24477696.0,-1.33,2.92,-1.6,5.42,7.77,2.52
32,329.07599999999996,11,4.09,10.69,0.91,-15.0625,32.6875,-22.6875,-2.062222222222222,0.6411111111111111,3.256666666666667,3.75,35.125,-70.125,-211304448.0,-118636544.0,109346816.0,21970944.0,-1.56,2.99,-1.67,5.64,7.54,2.72
33,340.01,10,4.08,10.53,1.04,-15.0625,32.6875,-22.6875,-2.12,0.6444444444444445,3.338888888888889,2.25,36.6875,-68.1875,-215318528.0,-114655232.0,110329856.0,19382272.0,-1.81,2.89,-1.75,7.14,7.3,2.91
34,349.74100000000004,9,4.04,10.2,1.16,-15.0625,32.6875,-22.6875,-2.318888888888889,0.6733333333333333,3.3666666666666667,0.8125,38.1875,-66.125,-215105536.0,-110559232.0,111230976.0,16793600.0,-2.18,2.77,-1.93,7.35,7.04,3.11
35,358.902,9,3.88,9.82,1.18,-16.0,36.75,-20.75,-2.318888888888889,0.6733333333333333,3.3666666666666667,7.375,39.6875,-63.9375,-219054080.0,-106364928.0,112050176.0,14204928.0,-4.04,1.88,-2.16,7.54,6.77,3.3
36,368.50899999999996,9,4.78,8.66,1.14,-8.0,36.75,-20.75,-2.29,0.7488888888888889,3.3444444444444446,6.0,41.125,-61.5625,-218775552.0,-102088704.0,112771072.0,11632640.0,-4.47,1.53,-2.42,6.45,6.49,3.5
37,379.539,11,4.54,8.03,1.08,-16.0,36.75,-20.75,-2.331111111111111,0.7111111111111111,3.3333333333333335,4.6875,42.5625,-59.125,-222593024.0,-97730560.0,113491968.0,9125888.0,-3.34,1.28,-2.45,6.63,6.2,3.7
38,390.52500000000003,10,4.56,7.49,1.24,-16.0,36.75,-20.75,-2.35,0.5911111111111111,3.3644444444444446,3.375,43.9375,-56.625,-224165888.0,-93290496.0,114294784.0,6635520.0,-4.52,1.38,-2.27,6.8,5.89,3.88
39,399.87600000000003,9,4.84,7.27,1.61,-9.25,39.875,-17.375,-2.338888888888889,0.5,3.4055555555555554,2.0625,45.3125,-54.0,-223494144.0,-88784896.0,115163136.0,4128768.0,-4.51,1.27,-2.28,6.97,5.58,4.05
40,408.90500000000003,9,5.02,6.85,1.76,-9.25,39.875,-17.375,-2.327777777777778,0.4988888888888889,3.4411111111111112,0.75,46.625,-51.25,-226934784.0,-84246528.0,116015104.0,1572864.0,-4.78,1.05,-2.43,7.12,5.25,4.21
41,418.062,9,4.9,6.3,1.77,-1.25,39.875,-17.375,-2.328888888888889,0.5266666666666666,3.4433333333333334,359.5,47.875,-48.375,-228196352.0,-79675392.0,116785152.0,-983040.0,-3.84,0.78,-2.74,7.27,4.91,4.36
42,429.242,11,4.52,4.53,1.67,-1.25,39.875,-17.375,-2.3466666666666667,0.57,3.4277777777777776,358.1875,49.0,-45.3125,-227295232.0,-75055104.0,117440512.0,-3538944.0,-4.16,-0.03,-2.83,7.4,4.57,4.51
43,442.478,13,4.6,4.07,1.91,-9.25,39.875,-17.375,-2.3566666666666665,0.5833333333333334,3.39,356.9375,50.0625,-42.125,-228409344.0,-70418432.0,118030336.0,-6045696.0,-2.92,-0.14,-2.74,7.52,4.22,4.66
44,451.37300000000005,8,4.81,3.95,2.07,5.75,42.375,-11.25,-2.352222222222222,0.5366666666666666,3.3355555555555556,355.75,51.0,-38.875,-231489536.0,-65781760.0,118620160.0,-8470528.0,-2.81,0.08,-2.72,7.62,3.87,4.79
45,460.24199999999996,8,4.81,3.95,2.07,5.75,42.375,-11.25,-2.3133333333333335,0.45666666666666667,3.2488888888888887,354.625,51.875,-35.5625,-232341504.0,-61227008.0,119209984.0,-10797056.0,-3.64,0.41,-2.26,7.71,3.52,4.91
46,470.705,10,4.07,3.93,2.65,5.75,42.375,-11.25,-2.4,0.39555555555555555,3.152222222222222,353.5625,52.6875,-32.25,-230965248.0,-56754176.0,119783424.0,-13041664.0,-3.62,0.22,-2.29,7.8,3.17,5.02
47,481.607,10,4.11,2.79,2.75,5.75,42.375,-11.25,-2.35,0.37,3.06,352.5,53.3125,-28.9375,-233684992.0,-52379648.0,120324096.0,-15187968.0,-3.75,-0.03,-2.36,7.86,2.83,5.11
48,493.36400000000003,11,3.92,2.08,2.77,5.75,42.375,-11.25,-2.307777777777778,0.39,2.9833333333333334,343.5625,53.875,-25.5625,-232128512.0,-48070656.0,120782848.0,-17268736.0,-2.71,-0.4,-2.43,9.2,2.49,5.2
49,502.212,8,4.76,1.37,2.52,3.5625,41.6875,-6.375,-2.301111111111111,0.39666666666666667,2.933333333333333,342.5625,54.3125,-22.1875,-232603648.0,-43794432.0,121176064.0,-19300352.0,-3.2,-0.78,-2.76,9.25,2.16,5.28
50,511.17100000000005,8,4.76,1.37,2.52,3.5625,41.6875,-6.375,-2.298888888888889,0.3411111111111111,2.8944444444444444,341.625,54.75,-18.75,-235077632.0,-39518208.0,121585664.0,-21282816.0,-4.61,-2.14,-2.57,8.0,1.82,5.35
51,521.9430000000001,10,5.09,-0.56,3.24,3.5625,41.6875,-6.375,-2.118888888888889,0.22,2.8666666666666667,340.6875,55.0625,-15.375,-235290624.0,-35307520.0,122093568.0,-23216128.0,-4.22,-2.05,-2.16,8.04,1.49,5.4
52,533.481,11,4.38,-0.41,3.79,3.5625,41.6875,-6.375,-2.18,0.09666666666666666,2.83,347.8125,55.375,-12.0,-235372544.0,-31211520.0,122683392.0,-25116672.0,-3.69,-1.57,-1.64,9.37,0.84,5.46
53,545.11,11,6.82,0.44,4.95,3.5625,41.6875,-6.375,-2.051111111111111,0.0022222222222222222,2.7577777777777777,338.875,55.625,-8.75,-235323392.0,-27312128.0,123322368.0,-27000832.0,-1.27,-0.39,-0.5,9.37,0.84,5.46
54,554.213,9,6.99,0.51,5.13,17.875,40.5625,-2.6875,-1.7766666666666666,-0.03111111111111111,2.6444444444444444,338.0,55.875,-5.5625,-235175936.0,-23609344.0,123928576.0,-28835840.0,-1.12,-0.02,-0.34,9.39,0.53,5.47
55,563.297,9,7.07,0.44,5.28,17.875,40.5625,-2.6875,-1.8266666666666667,-0.01,2.5044444444444443,345.125,55.9375,-2.5625,-235012096.0,-20103168.0,124452864.0,-30556160.0,-2.33,0.19,-0.19,9.4,-0.02,5.48
56,574.671,11,7.0,0.2,5.25,17.875,40.5625,-2.6875,-1.8155555555555556,0.02,2.38,344.375,55.9375,0.25,-234831872.0,-16662528.0,124895232.0,-32129024.0,-2.59,0.08,-0.4,9.4,-0.3,5.48
57,586.148,11,6.81,-0.22,5.07,17.875,40.5625,-2.6875,-1.9022222222222223,-0.0011111111111111111,2.296666666666667,343.6875,55.9375,3.125,-234291200.0,-9535488.0,125927424.0,-34881536.0,-2.59,-0.35,-0.66,9.4,-0.58,5.46
58,597.4350000000001,11,6.8,-0.94,4.79,17.875,40.5625,-2.6875,-2.0477777777777777,-0.09444444444444444,2.2866666666666666,343.0,55.875,6.125,-233832448.0,-5799936.0,126599168.0,-36290560.0,-1.17,-0.58,-0.83,9.39,-0.88,5.43
59,606.5120000000001,9,6.93,-1.46,4.6,22.375,37.1875,0.5625,-2.172222222222222,-0.20222222222222222,2.352222222222222,342.3125,55.8125,9.1875,-233832448.0,-5799936.0,126599168.0,-36290560.0,-1.18,-0.81,-1.24,9.38,-1.18,5.38
60,615.574,9,6.92,-2.0,4.14,22.375,37.1875,0.5625,-2.2144444444444447,-0.3277777777777778,2.4744444444444444,341.625,55.75,12.375,-233242624.0,-1900544.0,127401984.0,-37683200.0,-1.04,-1.73,-1.42,9.37,-1.49,5.33
61,626.257,10,7.04,-3.23,3.91,22.375,37.1875,0.5625,-2.128888888888889,-0.3422222222222222,2.601111111111111,340.8125,55.5625,15.625,-233947136.0,5701632.0,128761856.0,-41074688.0,-0.63,-1.49,-1.11,9.34,-1.79,5.28
62,637.3050000000001,11,7.42,-3.29,4.16,22.375,37.1875,0.5625,-1.9322222222222223,-0.25555555555555554,2.69,338.875,54.875,21.6875,-233259008.0,9125888.0,129171456.0,-42991616.0,-0.04,-0.75,-0.33,9.3,-2.08,5.24
63,648.105,10,6.69,-2.84,4.9,22.375,37.1875,0.5625,-1.6611111111111112,-0.15555555555555556,2.668888888888889,338.875,54.875,21.6875,-230490112.0,12091392.0,129400832.0,-45154304.0,-0.45,-0.53,-0.43,9.24,-2.34,5.2
64,657.116,9,7.51,-2.88,4.77,19.5625,33.875,3.75,-1.5855555555555556,-0.035555555555555556,2.5211111111111113,337.8125,54.3125,24.25,-230490112.0,12091392.0,129400832.0,-45154304.0,-0.5,-0.56,-0.27,9.19,-2.58,5.18
65,666.227,9,7.41,-3.14,4.9,27.5625,33.875,3.75,-1.34,0.03888888888888889,2.276666666666667,336.9375,53.75,26.5,-229392384.0,17743872.0,129630208.0,-48185344.0,-0.44,-0.56,-0.27,9.14,-2.8,5.14
66,677.078,10,6.14,-3.36,4.87,27.5625,33.875,3.75,-1.3822222222222222,0.034444444444444444,2.037777777777778,327.6875,52.75,30.625,-228786176.0,20561920.0,129843200.0,-49283072.0,-0.42,-0.63,-0.42,9.09,-3.02,5.1
67,687.9490000000001,10,7.38,-3.65,4.67,27.5625,33.875,3.75,-1.8777777777777778,-0.11777777777777777,1.79,327.1875,52.3125,32.6875,-230211584.0,23511040.0,130203648.0,-50167808.0,-0.92,-1.93,-1.33,9.04,-3.23,5.04
68,698.521,10,6.84,-5.17,3.7,19.5625,33.875,3.75,-1.8777777777777778,-0.11777777777777777,1.79,326.4375,51.8125,34.75,-229376000.0,26312704.0,130613248.0,-51445760.0,-0.99,-2.67,-1.43,8.99,-3.45,4.97
69,707.589,9,6.72,-6.12,3.53,23.375,29.0625,5.875,-1.8744444444444444,-0.10777777777777778,1.7555555555555555,326.4375,51.8125,34.75,-228720640.0,29392896.0,130842624.0,-52084736.0,-1.11,-2.9,-1.43,7.65,-3.66,4.91
70,716.672,9,6.53,-6.57,3.47,31.375,29.0625,5.875,-1.89,0.02,1.6933333333333334,334.0625,51.25,36.75,-226082816.0,32309248.0,130875392.0,-52641792.0,-0.76,-2.46,-0.96,7.59,-3.86,4.86
71,727.346,10,5.54,-6.32,3.89,31.375,29.0625,5.875,-1.758888888888889,0.16555555555555557,1.5566666666666666,325.5,50.125,39.875,-225673216.0,34832384.0,130777088.0,-53067776.0,-0.43,-2.02,-0.81,7.52,-4.02,4.82
72,738.456,11,7.09,-6.05,4.01,31.375,29.0625,5.875,-1.4222222222222223,0.23555555555555555,1.021111111111111,325.3125,49.6875,40.9375,-225329152.0,36896768.0,130678784.0,-53329920.0,-0.04,-1.61,-0.51,7.47,-4.15,4.78
73,748.827,10,7.42,-5.77,4.26,23.375,29.0625,5.875,-1.4222222222222223,0.23555555555555555,1.021111111111111,325.1875,49.3125,41.8125,-225034240.0,38518784.0,130629632.0,-53526528.0,-1.09,-1.22,-0.47,7.44,-4.26,4.75
74,757.934,9,7.62,-5.49,4.27,32.375,27.0,8.75,-1.08,0.17666666666666667,0.7622222222222222,325.1875,49.3125,41.8125,-224772096.0,39976960.0,130629632.0,-53575680.0,-1.04,-1.35,-0.81,7.4,-4.35,4.72
75,767.068,9,7.64,-5.7,3.91,32.375,27.0,8.75,-0.9688888888888889,0.12111111111111111,0.6255555555555555,325.0625,48.8125,43.375,-224460800.0,41369600.0,130711552.0,-53657600.0,-1.04,-1.83,-0.91,7.38,-4.43,4.69
76,778.233,11,7.61,-6.26,3.77,32.375,27.0,8.75,-1.0822222222222222,-0.04111111111111111,0.7255555555555555,324.9375,48.5625,44.25,-226148352.0,42811392.0,130859008.0,-53854208.0,-1.06,-2.11,-0.78,7.35,-4.52,4.64
77,789.4250000000001,11,6.28,-6.64,3.85,32.375,27.0,8.75,-1.051111111111111,-0.10555555555555556,0.8488888888888889,324.6875,48.25,45.125,-225689600.0,44285952.0,131022848.0,-54214656.0,-0.06,-2.35,-0.76,7.32,-4.62,4.6
78,799.3670000000001,9,7.25,-6.98,3.83,32.375,27.0,8.75,-1.051111111111111,-0.10555555555555556,0.8488888888888889,324.3125,47.9375,46.0625,-225148928.0,45580288.0,131219456.0,-54837248.0,-0.28,-2.85,-0.82,7.28,-4.72,4.55
79,808.429,9,6.99,-7.58,3.73,32.75,24.5625,10.0,-0.8066666666666666,-0.14888888888888888,0.9111111111111111,324.3125,47.9375,46.0625,-224690176.0,46710784.0,131366912.0,-55394304.0,-1.16,-2.43,-0.5,7.25,-4.81,4.51
80,817.517,9,7.36,-7.24,4.01,32.75,24.5625,10.0,-0.6044444444444445,-0.16666666666666666,0.84,323.75,47.5,47.3125,-222216192.0,47448064.0,131530752.0,-55902208.0,-1.04,-1.97,-0.59,7.23,-4.87,4.48
81,828.705,11,7.46,-6.84,3.88,32.75,24.5625,10.0,-0.15222222222222223,-0.2011111111111111,0.3988888888888889,323.5,47.4375,47.6875,-221954048.0,47808512.0,131694592.0,-56262656.0,-0.39,-1.32,-0.57,7.22,-4.9,4.46
82,839.895,11,6.82,-6.23,3.88,32.75,24.5625,10.0,-0.17777777777777778,-0.21666666666666667,0.18444444444444444,323.375,47.4375,47.875,-221757440.0,47906816.0,131891200.0,-56492032.0,-0.13,-1.08,-0.64,7.22,-4.91,4.44
83,849.677,9,7.08,-6.0,3.8,32.75,24.5625,10.0,-0.18333333333333332,-0.2111111111111111,0.057777777777777775,323.125,47.5,48.0,-221511680.0,47710208.0,132186112.0,-56934400.0,-0.01,-1.03,-0.8,7.23,-4.92,4.43
84,861.469,11,7.26,-6.14,3.56,34.6875,22.6875,10.75,-0.14555555555555555,-0.1811111111111111,0.006666666666666667,323.125,47.5625,48.125,-221364224.0,47808512.0,132415488.0,-56885248.0,0.02,-1.21,-0.84,7.23,-4.93,4.41
85,872.2149999999999,10,7.21,-6.54,3.45,34.6875,22.6875,10.75,-0.27444444444444444,-0.14,-0.0033333333333333335,331.1875,47.5625,48.375,-221200384.0,48054272.0,132644864.0,-56754176.0,-0.02,-1.6,-0.93,7.24,-4.94,4.38
86,883.71,11,7.1,-6.76,3.39,34.6875,22.6875,10.75,-0.35333333333333333,-0.08888888888888889,-0.01888888888888889,331.3125,47.625,48.5625,-221069312.0,48398336.0,132841472.0,-56524800.0,-0.14,-1.81,-0.96,7.25,-4.96,4.34
87,895.358,11,7.29,-6.59,3.49,34.6875,22.6875,10.75,-0.4666666666666667,-0.04111111111111111,-0.07555555555555556,331.4375,47.6875,48.75,-220987392.0,48676864.0,132988928.0,-56246272.0,1.32,-1.62,-0.85,7.25,-4.96,4.34
88,904.451,9,7.53,-6.38,3.63,34.0,21.875,12.0625,-0.19444444444444445,0.0077777777777777776,-0.1688888888888889,331.5625,47.75,48.8125,-220987392.0,48775168.0,133070848.0,-55951360.0,1.55,-1.42,-0.7,7.26,-4.96,4.33
89,913.586,9,7.44,-6.23,3.49,34.0,21.875,12.0625,-0.17777777777777778,0.05555555555555555,-0.2577777777777778,331.6875,47.8125,48.6875,-221085696.0,48660480.0,133087232.0,-55640064.0,0.17,-1.29,-0.84,7.27,-4.94,4.34
90,924.294,10,7.25,-6.39,3.41,34.0,21.875,12.0625,0.11888888888888889,0.08777777777777777,-0.3055555555555556,331.875,47.9375,48.6875,-221118464.0,48660480.0,133201920.0,-55279616.0,-0.13,-1.6,-0.84,7.28,-4.93,4.33
91,939.4090000000001,15,7.15,-6.53,3.48,34.0,21.875,12.0625,0.1322222222222222,0.02666666666666667,-0.29333333333333333,332.0,48.0625,48.5,-221233152.0,48349184.0,133201920.0,-55050240.0,-0.41,-2.12,-0.87,7.29,-4.9,4.34
92,949.457,10,6.87,-7.03,3.46,34.0,21.875,12.0625,0.02,-0.012222222222222223,-0.28444444444444444,331.9375,48.1875,48.25,-221265920.0,47792128.0,133300224.0,-55197696.0,-0.62,-2.4,-0.92,7.31,-4.88,4.34
93,958.566,9,6.68,-7.28,3.42,34.75,22.25,10.5,0.02,-0.012222222222222223,-0.28444444444444444,332.0625,48.3125,48.0625,-221380608.0,47349760.0,133349376.0,-55017472.0,-0.76,-2.47,-0.82,7.32,-4.84,4.35
94,967.645,9,6.56,-7.32,3.53,34.75,22.25,10.5,0.23666666666666666,-0.03222222222222222,-0.3111111111111111,332.125,48.5,47.6875,-221511680.0,46727168.0,133398528.0,-54853632.0,-0.63,-2.19,-0.64,7.34,-4.8,4.36
95,978.832,11,6.71,-7.0,3.71,34.75,22.25,10.5,0.45666666666666667,-0.07111111111111111,-0.46111111111111114,332.25,48.6875,47.3125,-221691904.0,45940736.0,133447680.0,-54673408.0,-0.2,-1.3,-0.23,7.36,-4.75,4.38
96,989.82,10,7.16,-6.06,4.14,34.75,22.25,10.5,0.3988888888888889,-0.07444444444444444,-0.5533333333333333,332.375,48.9375,46.8125,-221904896.0,44990464.0,133513216.0,-54444032.0,-0.25,-1.18,-0.22,7.39,-4.69,4.4
97,999.662,9,7.14,-5.87,4.17,34.75,22.25,10.5,0.5733333333333334,-0.06777777777777778,-0.6177777777777778,332.25,49.1875,46.25,-222003200.0,43614208.0,133677056.0,-54771712.0,-0.4,-1.38,-0.36,7.42,-4.62,4.42
98,1008.7440000000001,9,7.02,-6.01,4.06,34.75,23.0,9.6875,0.5733333333333334,-0.06777777777777778,-0.6177777777777778,332.4375,49.5,45.6875,-222232576.0,44695552.0,133758976.0,-54460416.0,-0.57,-1.69,-0.48,7.45,-4.55,4.44
99,1017.846,9,6.88,-6.25,3.95,34.75,23.0,9.6875,0.5555555555555556,-0.08333333333333333,-0.6466666666666666,332.625,49.8125,45.1875,-224526336.0,41582592.0,133857280.0,-54132736.0,-1.14,-2.39,-0.71,7.49,-4.49,4.45
